,DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Weapon Used Code,Weapon Description,Status Code,Status Description,Crime Code 1,Crime Code 2,Crime Code 3,Crime Code 4,Address,Cross Street,Location 
792,151522364,11/27/2015,11/18/2015,1215,,N Hollywood,1541,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0.0,,,101.0,STREET,,,IC,Invest Cont,420.0,,,,12500    HUSTON                       ST,,"(34.1594, -118.4052)"
793,151522366,11/27/2015,11/15/2015,1000,,N Hollywood,1555,510,VEHICLE - STOLEN,,0.0,,,123.0,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,510.0,,,,5000    FAIR                         AV,,"(34.1613, -118.3747)"
794,151522367,11/27/2015,11/26/2015,1730,,N Hollywood,1544,510,VEHICLE - STOLEN,,0.0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,LAURELGROVE,OTSEGO,"(34.1631, -118.4008)"
795,151522368,11/27/2015,11/27/2015,850,,N Hollywood,1505,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0344 0104 0325,0.0,M,W,243.0,"DIY CENTER (LOWE'S,HOME DEPOT,OSH,CONTRACTORS WAREHOUSE)",,,AA,Adult Arrest,442.0,,,,11600    SHERMAN                      WY,,"(34.2012, -118.3845)"
796,151522371,11/27/2015,11/18/2015,1000,,N Hollywood,1527,510,VEHICLE - STOLEN,,0.0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,VINELAND                     AV,OXNARD                       ST,"(34.1794, -118.3703)"
797,151522372,11/27/2015,11/26/2015,1500,,N Hollywood,1599,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0.0,,,101.0,STREET,,,IC,Invest Cont,420.0,,,,3900    FREDONIA                     DR,,"(34.1354, -118.3631)"
798,151522373,11/27/2015,11/27/2015,600,,N Hollywood,1519,510,VEHICLE - STOLEN,,0.0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,6700    CLEON                        AV,,"(34.1922, -118.3681)"
799,151522375,11/27/2015,11/10/2015,900,,N Hollywood,1559,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344 1402,66.0,F,W,101.0,STREET,,,IC,Invest Cont,420.0,998.0,,,5000    BILOXI                       AV,,"(34.1613, -118.3583)"
800,151522376,11/27/2015,11/05/2015,800,,N Hollywood,1562,330,BURGLARY FROM VEHICLE,0344 1607,36.0,M,O,707.0,GARAGE/CARPORT,,,IC,Invest Cont,330.0,,,,12800    MOORPARK                     ST,,"(34.1533, -118.4058)"
801,101412858,05/17/2010,05/16/2010,2100,14.0,Pacific,1406,946,OTHER MISCELLANEOUS CRIME,1501,34.0,M,W,108.0,PARKING LOT,,,IC,Invest Cont,946.0,,,,VENICE,OVERLAND,"(34.0187, -118.4069)"
802,151522377,11/27/2015,11/24/2015,2000,,N Hollywood,1526,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,70.0,F,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AO,Adult Other,440.0,,,,6200    LANKERSHIM                   BL,,"(34.1831, -118.3856)"
803,151522378,11/27/2015,11/25/2015,2030,,N Hollywood,1513,354,THEFT OF IDENTITY,1822 0935,22.0,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354.0,,,,6900    WHITSETT                     AV,,"(34.196, -118.4052)"
804,101417538,07/26/2010,07/24/2010,1800,14.0,Pacific,1424,330,BURGLARY FROM VEHICLE,0344,30.0,M,W,101.0,STREET,,,IC,Invest Cont,330.0,,,,PACIFIC,HURRICANE,"(33.9757, -118.462)"
805,151522380,11/27/2015,09/20/2015,900,,N Hollywood,1546,354,THEFT OF IDENTITY,1822,55.0,F,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,11600    MORRISON                     ST,,"(34.1604, -118.3855)"
806,151522381,11/27/2015,11/26/2015,2300,,N Hollywood,1548,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),1609,38.0,M,W,752.0,FIRE STATION,,,IC,Invest Cont,745.0,,,,5300    TUJUNGA                      AV,,"(34.167, -118.3789)"
807,151522382,11/27/2015,11/26/2015,700,,N Hollywood,1527,330,BURGLARY FROM VEHICLE,0344 1609 1307,26.0,F,W,101.0,STREET,,,IC,Invest Cont,330.0,,,,11300    BESSEMER                     ST,,"(34.1804, -118.3768)"
808,151522383,11/27/2015,11/26/2015,1630,,N Hollywood,1523,320,"BURGLARY, ATTEMPTED",1607,36.0,F,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,320.0,,,,6200    BEEMAN                       AV,,"(34.1831, -118.4073)"
809,151522384,11/27/2015,11/24/2015,1845,,N Hollywood,1525,331,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),0344,46.0,F,W,104.0,DRIVEWAY,,,IC,Invest Cont,331.0,,,,6100    SIMPSON                      AV,,"(34.1813, -118.3888)"
